,Age,Sex,Pclass,Fare,SibSp,Parch,Embarked,Survived
0,22.0,0,3,7.25,1,0,0,0
1,38.0,1,1,71.2833,1,0,1,1
2,26.0,1,3,7.925,0,0,0,1
3,35.0,1,1,53.1,1,0,0,1
4,35.0,0,3,8.05,0,0,0,0
5,24.0,0,3,8.4583,0,0,2,0
6,54.0,0,1,51.8625,0,0,0,0
7,2.0,0,3,21.075,3,1,0,0
8,27.0,1,3,11.1333,0,2,0,1
9,14.0,1,2,30.0708,1,0,1,1
10,4.0,1,3,16.7,1,1,0,1
11,58.0,1,1,26.55,0,0,0,1
12,20.0,0,3,8.05,0,0,0,0
13,39.0,0,3,31.275,1,5,0,0
14,14.0,1,3,7.8542,0,0,0,0
15,55.0,1,2,16.0,0,0,0,1
16,2.0,0,3,29.125,4,1,2,0
17,30.0,0,2,13.0,0,0,0,1
18,31.0,1,3,18.0,1,0,0,0
19,24.0,1,3,7.225,0,0,1,1
20,35.0,0,2,26.0,0,0,0,0
21,34.0,0,2,13.0,0,0,0,1
22,15.0,1,3,8.0292,0,0,2,1
23,28.0,0,1,35.5,0,0,0,1
24,8.0,1,3,21.075,3,1,0,0
25,38.0,1,3,31.3875,1,5,0,1
26,24.0,0,3,7.225,0,0,1,0
27,19.0,0,1,263.0,3,2,0,0
28,24.0,1,3,7.8792,0,0,2,1
29,24.0,0,3,7.8958,0,0,0,0
30,40.0,0,1,27.7208,0,0,1,0
31,38.0,1,1,146.5208,1,0,1,1
32,24.0,1,3,7.75,0,0,2,1
33,66.0,0,2,10.5,0,0,0,0
34,28.0,0,1,82.1708,1,0,1,0
35,42.0,0,1,52.0,1,0,0,0
36,24.0,0,3,7.2292,0,0,1,1
37,21.0,0,3,8.05,0,0,0,0
38,18.0,1,3,18.0,2,0,0,0
39,14.0,1,3,11.2417,1,0,1,1
40,40.0,1,3,9.475,1,0,0,0
41,27.0,1,2,21.0,1,0,0,0
42,24.0,0,3,7.8958,0,0,1,0
43,3.0,1,2,41.5792,1,2,1,1
44,19.0,1,3,7.8792,0,0,2,1
45,24.0,0,3,8.05,0,0,0,0
46,24.0,0,3,15.5,1,0,2,0
47,24.0,1,3,7.75,0,0,2,1
48,24.0,0,3,21.6792,2,0,1,0
49,18.0,1,3,17.8,1,0,0,0
50,7.0,0,3,39.6875,4,1,0,0
51,21.0,0,3,7.8,0,0,0,0
52,49.0,1,1,76.7292,1,0,1,1
53,29.0,1,2,26.0,1,0,0,1
54,65.0,0,1,61.9792,0,1,1,0
55,38.0,0,1,35.5,0,0,0,1
56,21.0,1,2,10.5,0,0,0,1
57,28.5,0,3,7.2292,0,0,1,0
58,5.0,1,2,27.75,1,2,0,1
59,11.0,0,3,46.9,5,2,0,0
60,22.0,0,3,7.2292,0,0,1,0
61,38.0,1,1,80.0,0,0,0,1
62,45.0,0,1,83.475,1,0,0,0
63,4.0,0,3,27.9,3,2,0,0
64,38.0,0,1,27.7208,0,0,1,0
65,24.0,0,3,15.2458,1,1,1,1
66,29.0,1,2,10.5,0,0,0,1
67,19.0,0,3,8.1583,0,0,0,0
68,17.0,1,3,7.925,4,2,0,1
69,26.0,0,3,8.6625,2,0,0,0
70,32.0,0,2,10.5,0,0,0,0
71,16.0,1,3,46.9,5,2,0,0
72,21.0,0,2,73.5,0,0,0,0
73,26.0,0,3,14.4542,1,0,1,0
74,32.0,0,3,56.4958,0,0,0,1
75,25.0,0,3,7.65,0,0,0,0
76,24.0,0,3,7.8958,0,0,0,0
77,24.0,0,3,8.05,0,0,0,0
78,0.83,0,2,29.0,0,2,0,1
79,30.0,1,3,12.475,0,0,0,1
80,22.0,0,3,9.0,0,0,0,0
81,29.0,0,3,9.5,0,0,0,1
82,24.0,1,3,7.7875,0,0,2,1
83,28.0,0,1,47.1,0,0,0,0
84,17.0,1,2,10.5,0,0,0,1
85,33.0,1,3,15.85,3,0,0,1
86,16.0,0,3,34.375,1,3,0,0
87,24.0,0,3,8.05,0,0,0,0
88,23.0,1,1,263.0,3,2,0,1
89,24.0,0,3,8.05,0,0,0,0
90,29.0,0,3,8.05,0,0,0,0
91,20.0,0,3,7.8542,0,0,0,0
92,46.0,0,1,61.175,1,0,0,0
93,26.0,0,3,20.575,1,2,0,0
94,59.0,0,3,7.25,0,0,0,0
95,24.0,0,3,8.05,0,0,0,0
96,71.0,0,1,34.6542,0,0,1,0
97,23.0,0,1,63.3583,0,1,1,1
98,34.0,1,2,23.0,0,1,0,1
99,34.0,0,2,26.0,1,0,0,0
100,28.0,1,3,7.8958,0,0,0,0
101,24.0,0,3,7.8958,0,0,0,0
102,21.0,0,1,77.2875,0,1,0,0
103,33.0,0,3,8.6542,0,0,0,0
104,37.0,0,3,7.925,2,0,0,0
105,28.0,0,3,7.8958,0,0,0,0
106,21.0,1,3,7.65,0,0,0,1
107,24.0,0,3,7.775,0,0,0,1
108,38.0,0,3,7.8958,0,0,0,0
109,24.0,1,3,24.15,1,0,2,1
110,47.0,0,1,52.0,0,0,0,0
111,14.5,1,3,14.4542,1,0,1,0
112,22.0,0,3,8.05,0,0,0,0
113,20.0,1,3,9.825,1,0,0,0
114,17.0,1,3,14.4583,0,0,1,0
115,21.0,0,3,7.925,0,0,0,0
116,70.5,0,3,7.75,0,0,2,0
117,29.0,0,2,21.0,1,0,0,0
118,24.0,0,1,247.5208,0,1,1,0
119,2.0,1,3,31.275,4,2,0,0
120,21.0,0,2,73.5,2,0,0,0
121,24.0,0,3,8.05,0,0,0,0
122,32.5,0,2,30.0708,1,0,1,0
123,32.5,1,2,13.0,0,0,0,1
124,54.0,0,1,77.2875,0,1,0,0
125,12.0,0,3,11.2417,1,0,1,1
126,24.0,0,3,7.75,0,0,2,0
127,24.0,0,3,7.1417,0,0,0,1
128,24.0,1,3,22.3583,1,1,1,1
129,45.0,0,3,6.975,0,0,0,0
130,33.0,0,3,7.8958,0,0,1,0
131,20.0,0,3,7.05,0,0,0,0
132,47.0,1,3,14.5,1,0,0,0
133,29.0,1,2,26.0,1,0,0,1
134,25.0,0,2,13.0,0,0,0,0
135,23.0,0,2,15.0458,0,0,1,0
136,19.0,1,1,26.2833,0,2,0,1
137,37.0,0,1,53.1,1,0,0,0
138,16.0,0,3,9.2167,0,0,0,0
139,24.0,0,1,79.2,0,0,1,0
140,24.0,1,3,15.2458,0,2,1,0
141,22.0,1,3,7.75,0,0,0,1
142,24.0,1,3,15.85,1,0,0,1
143,19.0,0,3,6.75,0,0,2,0
144,18.0,0,2,11.5,0,0,0,0
145,19.0,0,2,36.75,1,1,0,0
146,27.0,0,3,7.7958,0,0,0,1
147,9.0,1,3,34.375,2,2,0,0
148,36.5,0,2,26.0,0,2,0,0
149,42.0,0,2,13.0,0,0,0,0
150,51.0,0,2,12.525,0,0,0,0
151,22.0,1,1,66.6,1,0,0,1
152,55.5,0,3,8.05,0,0,0,0
153,40.5,0,3,14.5,0,2,0,0
154,24.0,0,3,7.3125,0,0,0,0
155,51.0,0,1,61.3792,0,1,1,0
156,16.0,1,3,7.7333,0,0,2,1
157,30.0,0,3,8.05,0,0,0,0
158,24.0,0,3,8.6625,0,0,0,0
159,24.0,0,3,69.55,8,2,0,0
160,44.0,0,3,16.1,0,1,0,0
161,40.0,1,2,15.75,0,0,0,1
162,26.0,0,3,7.775,0,0,0,0
163,17.0,0,3,8.6625,0,0,0,0
164,1.0,0,3,39.6875,4,1,0,0
165,9.0,0,3,20.525,0,2,0,1
166,38.0,1,1,55.0,0,1,0,1
167,45.0,1,3,27.9,1,4,0,0
168,38.0,0,1,25.925,0,0,0,0
169,28.0,0,3,56.4958,0,0,0,0
170,61.0,0,1,33.5,0,0,0,0
171,4.0,0,3,29.125,4,1,2,0
172,1.0,1,3,11.1333,1,1,0,1
173,21.0,0,3,7.925,0,0,0,0
174,56.0,0,1,30.6958,0,0,1,0
175,18.0,0,3,7.8542,1,1,0,0
176,24.0,0,3,25.4667,3,1,0,0
177,50.0,1,1,28.7125,0,0,1,0
178,30.0,0,2,13.0,0,0,0,0
179,36.0,0,3,0.0,0,0,0,0
180,24.0,1,3,69.55,8,2,0,0
181,30.0,0,2,15.05,0,0,1,0
182,9.0,0,3,31.3875,4,2,0,0
183,1.0,0,2,39.0,2,1,0,1
184,4.0,1,3,22.025,0,2,0,1
185,38.0,0,1,50.0,0,0,0,0
186,24.0,1,3,15.5,1,0,2,1
187,45.0,0,1,26.55,0,0,0,1
188,40.0,0,3,15.5,1,1,2,0
189,36.0,0,3,7.8958,0,0,0,0
190,32.0,1,2,13.0,0,0,0,1
191,19.0,0,2,13.0,0,0,0,0
192,19.0,1,3,7.8542,1,0,0,1
193,3.0,0,2,26.0,1,1,0,1
194,44.0,1,1,27.7208,0,0,1,1
195,58.0,1,1,146.5208,0,0,1,1
196,24.0,0,3,7.75,0,0,2,0
197,42.0,0,3,8.4042,0,1,0,0
198,24.0,1,3,7.75,0,0,2,1
199,24.0,1,2,13.0,0,0,0,0
200,28.0,0,3,9.5,0,0,0,0
201,24.0,0,3,69.55,8,2,0,0
202,34.0,0,3,6.4958,0,0,0,0
203,45.5,0,3,7.225,0,0,1,0
204,18.0,0,3,8.05,0,0,0,1
205,2.0,1,3,10.4625,0,1,0,0
206,32.0,0,3,15.85,1,0,0,0
207,26.0,0,3,18.7875,0,0,1,1
208,16.0,1,3,7.75,0,0,2,1
209,40.0,0,1,31.0,0,0,1,1
210,24.0,0,3,7.05,0,0,0,0
211,35.0,1,2,21.0,0,0,0,1
212,22.0,0,3,7.25,0,0,0,0
213,30.0,0,2,13.0,0,0,0,0
214,24.0,0,3,7.75,1,0,2,0
215,31.0,1,1,113.275,1,0,1,1
216,27.0,1,3,7.925,0,0,0,1
217,42.0,0,2,27.0,1,0,0,0
218,32.0,1,1,76.2917,0,0,1,1
219,30.0,0,2,10.5,0,0,0,0
220,16.0,0,3,8.05,0,0,0,1
221,27.0,0,2,13.0,0,0,0,0
222,51.0,0,3,8.05,0,0,0,0
223,24.0,0,3,7.8958,0,0,0,0
224,38.0,0,1,90.0,1,0,0,1
225,22.0,0,3,9.35,0,0,0,0
226,19.0,0,2,10.5,0,0,0,1
227,20.5,0,3,7.25,0,0,0,0
228,18.0,0,2,13.0,0,0,0,0
229,24.0,1,3,25.4667,3,1,0,0
230,35.0,1,1,83.475,1,0,0,1
231,29.0,0,3,7.775,0,0,0,0
232,59.0,0,2,13.5,0,0,0,0
233,5.0,1,3,31.3875,4,2,0,1
234,24.0,0,2,10.5,0,0,0,0
235,24.0,1,3,7.55,0,0,0,0
236,44.0,0,2,26.0,1,0,0,0
237,8.0,1,2,26.25,0,2,0,1
238,19.0,0,2,10.5,0,0,0,0
239,33.0,0,2,12.275,0,0,0,0
240,24.0,1,3,14.4542,1,0,1,0
241,24.0,1,3,15.5,1,0,2,1
242,29.0,0,2,10.5,0,0,0,0
243,22.0,0,3,7.125,0,0,0,0
244,30.0,0,3,7.225,0,0,1,0
245,44.0,0,1,90.0,2,0,2,0
246,25.0,1,3,7.775,0,0,0,0
247,24.0,1,2,14.5,0,2,0,1
248,37.0,0,1,52.5542,1,1,0,1
249,54.0,0,2,26.0,1,0,0,0
250,24.0,0,3,7.25,0,0,0,0
251,29.0,1,3,10.4625,1,1,0,0
252,62.0,0,1,26.55,0,0,0,0
253,30.0,0,3,16.1,1,0,0,0
254,41.0,1,3,20.2125,0,2,0,0
255,29.0,1,3,15.2458,0,2,1,1
256,38.0,1,1,79.2,0,0,1,1
257,30.0,1,1,86.5,0,0,0,1
258,35.0,1,1,512.3292,0,0,1,1
259,50.0,1,2,26.0,0,1,0,1
260,24.0,0,3,7.75,0,0,2,0
261,3.0,0,3,31.3875,4,2,0,1
262,52.0,0,1,79.65,1,1,0,0
263,40.0,0,1,0.0,0,0,0,0
264,24.0,1,3,7.75,0,0,2,0
265,36.0,0,2,10.5,0,0,0,0
266,16.0,0,3,39.6875,4,1,0,0
267,25.0,0,3,7.775,1,0,0,1
268,58.0,1,1,153.4625,0,1,0,1
269,35.0,1,1,135.6333,0,0,0,1
270,38.0,0,1,31.0,0,0,0,0
271,25.0,0,3,0.0,0,0,0,1
272,41.0,1,2,19.5,0,1,0,1
273,37.0,0,1,29.7,0,1,1,0
274,24.0,1,3,7.75,0,0,2,1
275,63.0,1,1,77.9583,1,0,0,1
276,45.0,1,3,7.75,0,0,0,0
277,30.0,0,2,0.0,0,0,0,0
278,7.0,0,3,29.125,4,1,2,0
279,35.0,1,3,20.25,1,1,0,1
280,65.0,0,3,7.75,0,0,2,0
281,28.0,0,3,7.8542,0,0,0,0
282,16.0,0,3,9.5,0,0,0,0
283,19.0,0,3,8.05,0,0,0,1
284,38.0,0,1,26.0,0,0,0,0
285,33.0,0,3,8.6625,0,0,1,0
286,30.0,0,3,9.5,0,0,0,1
287,22.0,0,3,7.8958,0,0,0,0
288,42.0,0,2,13.0,0,0,0,1
289,22.0,1,3,7.75,0,0,2,1
290,26.0,1,1,78.85,0,0,0,1
291,19.0,1,1,91.0792,1,0,1,1
292,36.0,0,2,12.875,0,0,1,0
293,24.0,1,3,8.85,0,0,0,0
294,24.0,0,3,7.8958,0,0,0,0
295,38.0,0,1,27.7208,0,0,1,0
296,23.5,0,3,7.2292,0,0,1,0
297,2.0,1,1,151.55,1,2,0,0
298,38.0,0,1,30.5,0,0,0,1
299,50.0,1,1,247.5208,0,1,1,1
300,24.0,1,3,7.75,0,0,2,1
301,24.0,0,3,23.25,2,0,2,1
302,19.0,0,3,0.0,0,0,0,0
303,30.0,1,2,12.35,0,0,2,1
304,24.0,0,3,8.05,0,0,0,0
305,0.92,0,1,151.55,1,2,0,1
306,38.0,1,1,110.8833,0,0,1,1
307,17.0,1,1,108.9,1,0,1,1
308,30.0,0,2,24.0,1,0,1,0
309,30.0,1,1,56.9292,0,0,1,1
310,24.0,1,1,83.1583,0,0,1,1
311,18.0,1,1,262.375,2,2,1,1
312,26.0,1,2,26.0,1,1,0,0
313,28.0,0,3,7.8958,0,0,0,0
314,43.0,0,2,26.25,1,1,0,0
315,26.0,1,3,7.8542,0,0,0,1
316,24.0,1,2,26.0,1,0,0,1
317,54.0,0,2,14.0,0,0,0,0
318,31.0,1,1,164.8667,0,2,0,1
319,40.0,1,1,134.5,1,1,1,1
320,22.0,0,3,7.25,0,0,0,0
321,27.0,0,3,7.8958,0,0,0,0
322,30.0,1,2,12.35,0,0,2,1
323,22.0,1,2,29.0,1,1,0,1
324,24.0,0,3,69.55,8,2,0,0
325,36.0,1,1,135.6333,0,0,1,1
326,61.0,0,3,6.2375,0,0,0,0
327,36.0,1,2,13.0,0,0,0,1
328,31.0,1,3,20.525,1,1,0,1
329,16.0,1,1,57.9792,0,1,1,1
330,24.0,1,3,23.25,2,0,2,1
331,45.5,0,1,28.5,0,0,0,0
332,38.0,0,1,153.4625,0,1,0,0
333,16.0,0,3,18.0,2,0,0,0
334,38.0,1,1,133.65,1,0,0,1
335,24.0,0,3,7.8958,0,0,0,0
336,29.0,0,1,66.6,1,0,0,0
337,41.0,1,1,134.5,0,0,1,1
338,45.0,0,3,8.05,0,0,0,1
339,45.0,0,1,35.5,0,0,0,0
340,2.0,0,2,26.0,1,1,0,1
341,24.0,1,1,263.0,3,2,0,1
342,28.0,0,2,13.0,0,0,0,0
343,25.0,0,2,13.0,0,0,0,0
344,36.0,0,2,13.0,0,0,0,0
345,24.0,1,2,13.0,0,0,0,1
346,40.0,1,2,13.0,0,0,0,1
347,24.0,1,3,16.1,1,0,0,1
348,3.0,0,3,15.9,1,1,0,1
349,42.0,0,3,8.6625,0,0,0,0
350,23.0,0,3,9.225,0,0,0,0
351,38.0,0,1,35.0,0,0,0,0
352,15.0,0,3,7.2292,1,1,1,0
353,25.0,0,3,17.8,1,0,0,0
354,24.0,0,3,7.225,0,0,1,0
355,28.0,0,3,9.5,0,0,0,0
356,22.0,1,1,55.0,0,1,0,1
357,38.0,1,2,13.0,0,0,0,0
358,24.0,1,3,7.8792,0,0,2,1
359,24.0,1,3,7.8792,0,0,2,1
360,40.0,0,3,27.9,1,4,0,0
361,29.0,0,2,27.7208,1,0,1,0
362,45.0,1,3,14.4542,0,1,1,0
363,35.0,0,3,7.05,0,0,0,0
364,24.0,0,3,15.5,1,0,2,0
365,30.0,0,3,7.25,0,0,0,0
366,60.0,1,1,75.25,1,0,1,1
367,24.0,1,3,7.2292,0,0,1,1
368,24.0,1,3,7.75,0,0,2,1
369,24.0,1,1,69.3,0,0,1,1
370,25.0,0,1,55.4417,1,0,1,1
371,18.0,0,3,6.4958,1,0,0,0
372,19.0,0,3,8.05,0,0,0,0
373,22.0,0,1,135.6333,0,0,1,0
374,3.0,1,3,21.075,3,1,0,0
375,38.0,1,1,82.1708,1,0,1,1
376,22.0,1,3,7.25,0,0,0,1
377,27.0,0,1,211.5,0,2,1,0
378,20.0,0,3,4.0125,0,0,1,0
379,19.0,0,3,7.775,0,0,0,0
380,42.0,1,1,227.525,0,0,1,1
381,1.0,1,3,15.7417,0,2,1,1
382,32.0,0,3,7.925,0,0,0,0
383,35.0,1,1,52.0,1,0,0,1
384,24.0,0,3,7.8958,0,0,0,0
385,18.0,0,2,73.5,0,0,0,0
386,1.0,0,3,46.9,5,2,0,0
387,36.0,1,2,13.0,0,0,0,1
388,24.0,0,3,7.7292,0,0,2,0
389,17.0,1,2,12.0,0,0,1,1
390,36.0,0,1,120.0,1,2,0,1
391,21.0,0,3,7.7958,0,0,0,1
392,28.0,0,3,7.925,2,0,0,0
393,23.0,1,1,113.275,1,0,1,1
394,24.0,1,3,16.7,0,2,0,1
395,22.0,0,3,7.7958,0,0,0,0
396,31.0,1,3,7.8542,0,0,0,0
397,46.0,0,2,26.0,0,0,0,0
398,23.0,0,2,10.5,0,0,0,0
399,28.0,1,2,12.65,0,0,0,1
400,39.0,0,3,7.925,0,0,0,1
401,26.0,0,3,8.05,0,0,0,0
402,21.0,1,3,9.825,1,0,0,0
403,28.0,0,3,15.85,1,0,0,0
404,20.0,1,3,8.6625,0,0,0,0
405,34.0,0,2,21.0,1,0,0,0
406,51.0,0,3,7.75,0,0,0,0
407,3.0,0,2,18.75,1,1,0,1
408,21.0,0,3,7.775,0,0,0,0
409,24.0,1,3,25.4667,3,1,0,0
410,24.0,0,3,7.8958,0,0,0,0
411,24.0,0,3,6.8583,0,0,2,0
412,33.0,1,1,90.0,1,0,2,1
413,30.0,0,2,0.0,0,0,0,0
414,44.0,0,3,7.925,0,0,0,1
415,24.0,1,3,8.05,0,0,0,0
416,34.0,1,2,32.5,1,1,0,1
417,18.0,1,2,13.0,0,2,0,1
418,30.0,0,2,13.0,0,0,0,0
419,10.0,1,3,24.15,0,2,0,0
420,24.0,0,3,7.8958,0,0,1,0
421,21.0,0,3,7.7333,0,0,2,0
422,29.0,0,3,7.875,0,0,0,0
423,28.0,1,3,14.4,1,1,0,0
424,18.0,0,3,20.2125,1,1,0,0
425,24.0,0,3,7.25,0,0,0,0
426,28.0,1,2,26.0,1,0,0,1
427,19.0,1,2,26.0,0,0,0,1
428,24.0,0,3,7.75,0,0,2,0
429,32.0,0,3,8.05,0,0,0,1
430,28.0,0,1,26.55,0,0,0,1
431,24.0,1,3,16.1,1,0,0,1
432,42.0,1,2,26.0,1,0,0,1
433,17.0,0,3,7.125,0,0,0,0
434,50.0,0,1,55.9,1,0,0,0
435,14.0,1,1,120.0,1,2,0,1
436,21.0,1,3,34.375,2,2,0,0
437,24.0,1,2,18.75,2,3,0,1
438,64.0,0,1,263.0,1,4,0,0
439,31.0,0,2,10.5,0,0,0,0
440,45.0,1,2,26.25,1,1,0,1
441,20.0,0,3,9.5,0,0,0,0
442,25.0,0,3,7.775,1,0,0,0
443,28.0,1,2,13.0,0,0,0,1
444,24.0,0,3,8.1125,0,0,0,1
445,4.0,0,1,81.8583,0,2,0,1
446,13.0,1,2,19.5,0,1,0,1
